first_score,attempts_day1,hours_before,prev_best,at_risk
3.2,0,-47.9,3.1,0
5.1,0,38.6,5.2,1
3.1,0,-42.0,7.3,1
3.5,0,-7.1,0,1
8.5,4,28.6,10,0
5.6,1,-3.0,5.8,1
7.9,0,165.4,10,0
4.4,2,76.7,7.4,0
6.8,1,101.1,5.3,0
7.3,1,78.9,8.9,0
6.0,1,81.5,9.4,0
1.6,0,30.0,2.7,1
3.2,1,-15.9,5.5,1
6.0,1,127.3,4.8,0
3.0,0,5.2,3.8,1
4.7,1,100.5,5.2,1
5.2,1,117.2,6.9,0
2.8,1,-5.8,7.8,1
8.1,0,148.1,8.3,0
8.3,2,-15.5,9.8,0
7.7,0,62.2,7.0,0
6.9,2,125.0,10,0
7.2,0,106.3,5.0,0
3.9,1,8.1,5.6,1
6.6,1,86.0,8.4,0
3.7,2,159.5,5.6,0
8.7,0,111.6,7.7,0
2.7,1,-32.3,5.7,1
0.8,2,152.8,3.9,1
8.8,1,24.7,10,0
2.3,0,38.2,5.0,1
5.0,0,9.4,3.4,1
9.6,8,-36.2,8.8,1
4.7,2,105.5,4.9,0
8.2,2,130.3,9.6,0
6.4,0,-28.8,10,0
7.6,4,44.3,5.4,0
10,0,24.7,10,0
7.8,1,51.3,6.5,0
4.0,0,97.6,5.9,1
5.5,0,96.3,5.0,0
3.1,1,-39.9,5.0,0
1.0,0,-19.0,1.1,1
8.3,0,-42.0,10,0
0,1,165.5,0,1
8.9,0,100.1,7.5,0
5.7,0,92.4,6.7,0
4.9,1,128.6,9.1,0
0.8,0,-43.0,4.0,1
3.1,0,123.8,6.7,1
8.8,0,-14.8,10,0
5.6,4,-27.3,5.5,1
3.0,0,119.5,6.6,1
0.6,0,107.2,0,1
4.8,0,68.4,9.0,0
10,1,74.4,10,0
4.6,4,89.4,3.2,0
3.1,0,147.1,7.9,1
5.1,1,83.8,6.0,1
6.4,0,-20.3,4.9,1
4.0,1,25.1,8.6,0
8.5,0,133.1,10,0
5.3,0,-18.6,4.5,1
2.6,4,-32.7,1.7,1
1.7,2,28.4,4.6,1
5.7,0,70.8,5.2,1
5.1,0,161.3,6.4,0
3.3,2,127.4,5.2,1
8.3,0,-8.9,8.4,0
3.3,2,-7.4,5.5,1
0.5,0,106.1,3.5,1
1.8,0,114.2,4.6,1
3.3,0,32.3,5.2,1
6.2,1,28.8,6.7,0
5.6,3,132.6,4.6,0
4.1,0,-13.2,7.3,1
4.3,1,16.8,10,0
0,0,127.8,2.4,1
3.0,1,59.0,7.1,0
3.9,0,-20.9,4.2,1
0.8,0,40.8,3.3,1
3.0,3,0.5,6.1,1
4.2,0,-16.9,9.2,1
6.1,1,120.1,5.3,0
5.7,1,62.8,5.0,0
4.4,0,-46.2,4.3,1
3.4,3,136.7,8.5,1
1.9,3,53.4,3.4,1
5.3,0,5.9,3.8,1
10,0,69.4,10,0
1.7,1,42.7,4.0,1
6.7,0,71.4,8.4,0
5.1,4,94.0,6.4,0
4.2,2,49.5,8.2,0
1.3,1,-34.9,5.1,1
3.6,1,102.4,7.3,0
6.1,0,11.8,4.3,0
2.3,0,83.1,6.0,0
7.7,0,18.6,5.3,0
7.8,0,86.3,8.3,0
5.2,2,-19.7,10,0
9.5,4,162.7,8.5,0
8.6,0,-22.0,7.8,0
6.2,0,71.9,10,0
4.0,0,-37.4,7.8,1
7.4,0,-42.8,10,0
5.3,0,151.1,7.1,0
6.5,2,31.2,4.9,0
1.8,3,80.6,4.9,1
3.1,0,-36.1,5.3,1
6.3,0,82.5,5.8,0
4.2,2,-44.3,4.1,1
10,0,-21.3,9.6,0
7.7,8,153.1,7.2,0
6.4,0,4.5,2.9,1
4.6,3,114.1,10,0
7.8,0,-29.0,6.8,0
0.1,2,132.1,2.1,1
5.9,0,163.3,3.0,0
3.1,3,162.9,8.4,1
1.1,1,38.9,2.9,1
0,0,5.3,0.8,1
9.1,6,-47.3,7.4,1
0.8,1,61.3,4.0,1
8.4,0,65.8,7.1,0
2.0,1,-1.6,4.1,1
8.3,1,80.3,8.4,0
8.7,2,6.1,9.7,0
5.4,0,160.6,7.1,0
5.3,1,51.4,3.7,0
3.9,3,141.1,7.9,0
7.9,6,105.1,5.1,0
3.9,0,-16.8,3.6,0
1.3,2,-3.5,3.8,1
8.5,0,-47.9,6.3,0
4.7,0,112.3,7.4,1
5.3,1,-39.5,3.7,1
3.8,0,-47.1,3.7,0
3.6,0,-2.5,7.8,1
5.1,0,-5.9,9.0,1
8.3,0,-42.1,6.2,0
4.4,3,41.7,10,1
10,1,24.7,10,0
4.4,1,-20.1,6.2,1
7.2,0,16.2,10,1
9.8,0,-24.8,9.7,0
6.5,0,-7.7,6.5,0
8.5,0,96.8,7.7,0
2.6,2,117.9,6.3,0
7.4,1,-44.8,6.9,1
6.9,0,58.1,7.6,0
3.1,1,-39.4,6.1,1
7.1,2,117.8,4.7,0
3.2,2,50.6,5.4,1
5.0,0,165.4,2.0,0
5.4,3,81.0,4.3,1
3.8,2,-10.8,5.3,0
0,1,21.1,2.0,1
1.0,0,14.9,1.2,1
3.5,4,-5.4,8.0,0
3.8,2,29.0,6.4,0
0,0,63.6,2.2,1
9.4,1,99.4,10,0
7.5,0,86.7,7.0,0
1.6,0,-7.3,5.5,1
3.0,1,103.6,4.4,0
6.5,2,84.9,2.6,0
8.1,0,165.2,8.1,0
6.5,0,47.0,5.2,0
4.4,0,142.1,9.6,0
6.1,0,130.1,10,0
1.6,1,95.4,4.4,1
3.2,2,53.3,4.0,1
7.1,0,89.9,4.1,0
3.8,1,21.7,4.1,1
4.4,1,155.7,4.2,1
6.8,0,63.7,5.6,1
6.9,0,21.3,7.6,0
8.8,0,72.3,7.5,0
9.7,2,12.0,9.5,0
5.8,3,159.6,10,0
7.4,2,25.5,7.4,0
0.2,2,84.0,3.6,1
5.1,1,27.8,4.7,1
5.0,1,103.8,4.4,1
6.6,0,-29.7,8.2,1
5.7,7,-41.2,10,0
3.1,0,-22.4,8.3,0
9.1,0,49.4,6.9,1
5.6,0,106.5,8.5,0
4.1,3,-27.1,5.2,1
8.0,0,16.5,5.6,0
1.8,1,44.7,2.0,1
4.6,1,11.1,2.9,1
4.1,0,47.9,4.8,1
3.6,2,75.4,5.4,1
3.4,2,-30.1,5.8,1
7.6,3,84.4,7.2,0
4.2,1,144.9,5.2,0
6.6,2,39.0,9.4,0
3.7,0,74.8,7.6,0
6.0,0,81.2,5.9,0
4.8,2,-45.9,8.9,1
9.0,5,95.0,8.6,0
2.3,0,6.9,2.4,1
3.0,0,129.6,4.8,1
8.1,2,-29.1,10,0
0,2,-25.8,1.0,1
5.2,0,70.6,6.8,0
2.9,1,11.9,4.6,0
9.1,0,69.7,7.2,0
6.8,3,46.3,7.7,1
7.0,0,161.9,10,0
3.0,6,-7.7,3.6,1
6.4,5,32.9,5.5,0
1.4,0,138.3,2.4,1
4.1,0,3.1,4.9,1
9.7,1,84.2,8.6,0
9.6,2,38.4,7.8,0
7.7,1,165.5,8.1,0
7.2,0,51.3,4.2,0
7.1,3,74.8,5.4,0
5.0,3,112.8,8.1,0
7.0,2,-3.5,9.3,0
3.0,0,-46.5,3.1,1
9.4,0,36.7,10,0
1.1,2,152.2,3.8,1
3.8,2,156.7,5.1,1
6.2,2,-7.4,8.8,0
8.2,1,33.3,7.7,0
7.5,1,14.6,4.6,1
6.9,2,152.7,6.4,0
7.1,8,103.9,5.1,1
7.7,0,19.3,5.3,0
6.3,0,112.4,8.7,0
8.9,1,-37.4,9.0,0
6.6,0,1.5,4.2,0
3.7,4,127.6,7.8,0
5.7,0,75.0,7.9,1
10,1,52.9,10,0
2.6,2,2.4,6.9,1
0.7,1,140.2,2.8,1
5.7,1,149.4,9.3,0
5.5,0,130.0,8.6,0
4.5,2,97.8,7.8,0
2.2,2,166.5,4.0,0
4.8,0,80.2,2.7,1
9.0,5,-28.2,10,0
6.3,2,90.1,10,0
2.7,0,58.6,7.6,1
4.3,0,153.2,8.3,0
3.2,0,152.5,6.9,0
6.3,0,-40.4,7.4,1
8.3,0,153.2,6.1,0
9.1,0,98.6,8.1,0
3.2,1,92.4,8.4,0
8.6,0,-12.4,8.0,0
